"Date","Time","To","From","Direction","Message.Type"
"10/12/17","10:26 AM","703-555-2508","703-555-1760","Sent","Text"
"10/12/17","10:22 AM","703-555-1760","703-555-2508","Received","Text"
"10/12/17","11:07 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/12/17","11:07 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/12/17","11:07 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/12/17","11:07 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/12/17","11:07 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/12/17","11:07 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/12/17","12:30 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/12/17","12:30 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/12/17","12:30 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/12/17","12:10 PM","703-555-1760","240-555-1499@icmms1.star5.lightspeed.net","Received","Picture/Video"
"10/12/17","11:38 AM","716-555-1105","7035551760","Sent","Picture/Video"
"10/12/17","11:38 AM","810-555-0565","7035551760","Sent","Picture/Video"
"10/12/17","11:38 AM","240-555-1499","7035551760","Sent","Picture/Video"
"10/11/17","4:33 PM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","12:19 PM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","12:19 PM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","12:18 PM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","12:09 PM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","11:24 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","11:16 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","11:15 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","11:14 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","11:14 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","11:13 AM","540-555-3011","703-555-1760","Sent","Text"
"10/11/17","11:13 AM","703-555-1760","540-555-3011","Received","Text"
"10/11/17","11:13 AM","540-555-3011","703-555-1760","Sent","Text"
"10/11/17","6:44 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","6:43 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","6:43 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","6:42 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","6:42 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","6:41 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","6:41 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","6:41 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","6:40 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","6:40 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","6:40 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","6:40 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","6:39 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","6:38 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","6:38 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","6:37 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","6:37 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","6:36 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","6:36 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","6:36 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","6:36 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","6:35 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","6:35 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","6:35 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","6:34 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","6:32 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","6:32 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","6:32 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","6:31 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","6:30 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","6:29 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","6:29 AM","202-555-1219","703-555-1760","Sent","Text"
"10/11/17","6:29 AM","703-555-1760","202-555-1219","Received","Text"
"10/11/17","5:20 AM","703-555-1760","703-555-2508","Received","Text"
"10/11/17","5:19 AM","703-555-2508","703-555-1760","Sent","Text"
"10/11/17","5:19 AM","703-555-2508","703-555-1760","Sent","Text"
"10/11/17","5:19 AM","703-555-2508","703-555-1760","Sent","Text"
"10/11/17","5:17 AM","703-555-1760","703-555-2508","Received","Text"
"10/11/17","5:13 AM","703-555-2508","7035551760","Sent","Picture/Video"
"10/11/17","4:50 AM","703-555-1760","703-555-2508","Received","Text"
"10/11/17","4:49 AM","703-555-2508","703-555-1760","Sent","Text"
"10/11/17","4:48 AM","703-555-2508","7035551760","Sent","Picture/Video"
"10/11/17","4:34 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/11/17","4:34 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/11/17","4:34 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/11/17","2:10 PM","240-555-2248","7035551760","Sent","Picture/Video"
"10/11/17","2:10 PM","240-555-9602","7035551760","Sent","Picture/Video"
"10/11/17","9:32 AM","202-555-1219","7035551760","Sent","Picture/Video"
"10/10/17","5:13 PM","703-555-2508","703-555-1760","Sent","Text"
"10/10/17","2:31 PM","202-555-1219","703-555-1760","Sent","Text"
"10/10/17","2:31 PM","202-555-1219","703-555-1760","Sent","Text"
"10/10/17","11:40 AM","703-555-1760","202-555-1219","Received","Text"
"10/10/17","11:38 AM","703-555-1760","202-555-1219","Received","Text"
"10/10/17","11:38 AM","703-555-1760","202-555-1219","Received","Text"
"10/9/17","3:14 PM","703-555-1760","703-555-2508","Received","Text"
"10/9/17","3:14 PM","703-555-2508","703-555-1760","Sent","Text"
"10/9/17","3:13 PM","703-555-1760","703-555-2508","Received","Text"
"10/9/17","8:02 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/9/17","8:02 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/9/17","8:02 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/9/17","8:02 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/9/17","8:02 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/9/17","8:02 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/9/17","8:01 PM","703-555-1760","716-555-1105@icmms1.star5.lightspeed.net","Received","Picture/Video"
"10/9/17","7:59 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/9/17","7:59 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/9/17","7:59 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/9/17","7:59 PM","703-555-1760","240-555-1499@icmms1.star5.lightspeed.net","Received","Picture/Video"
"10/9/17","7:56 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/9/17","7:56 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/9/17","7:56 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/9/17","7:56 PM","703-555-1760","810-555-0565","Received","Picture/Video"
"10/9/17","7:55 PM","703-555-1760","810-555-0565","Received","Picture/Video"
"10/9/17","7:54 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/9/17","7:54 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/9/17","7:54 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/9/17","7:53 PM","703-555-1760","810-555-0565","Received","Picture/Video"
"10/9/17","7:53 PM","703-555-1760","810-555-0565","Received","Picture/Video"
"10/9/17","7:52 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/9/17","7:52 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/9/17","7:52 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/9/17","7:52 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/9/17","7:52 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/9/17","7:52 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/8/17","9:53 AM","703-555-2508","703-555-1760","Sent","Text"
"10/8/17","9:53 AM","703-555-2508","703-555-1760","Sent","Text"
"10/8/17","9:53 AM","703-555-1760","703-555-2508","Received","Text"
"10/8/17","9:43 AM","703-555-1760","703-555-2508","Received","Text"
"10/8/17","9:42 AM","703-555-2508","703-555-1760","Sent","Text"
"10/8/17","9:41 AM","703-555-1760","703-555-2508","Received","Text"
"10/8/17","9:37 AM","703-555-1760","703-555-2508","Received","Text"
"10/8/17","9:36 AM","703-555-2508","703-555-1760","Sent","Text"
"10/8/17","9:28 AM","703-555-2508","703-555-1760","Sent","Text"
"10/8/17","9:27 AM","703-555-1760","703-555-2508","Received","Text"
"10/8/17","9:22 AM","703-555-2508","703-555-1760","Sent","Text"
"10/8/17","9:22 AM","703-555-1760","703-555-2508","Received","Text"
"10/8/17","9:14 AM","703-555-2508","703-555-1760","Sent","Text"
"10/8/17","9:13 AM","703-555-2508","703-555-1760","Sent","Text"
"10/8/17","9:12 AM","703-555-1760","703-555-2508","Received","Text"
"10/8/17","9:11 AM","703-555-2508","703-555-1760","Sent","Text"
"10/8/17","9:07 AM","703-555-1760","202-555-7160","Received","Text"
"10/8/17","8:27 AM","703-555-2508","703-555-1760","Sent","Text"
"10/8/17","8:26 AM","703-555-1760","703-555-2508","Received","Text"
"10/8/17","8:26 AM","703-555-2508","703-555-1760","Sent","Text"
"10/8/17","8:26 AM","703-555-2508","703-555-1760","Sent","Text"
"10/8/17","8:04 AM","703-555-1760","703-555-2508","Received","Text"
"10/8/17","8:02 AM","703-555-2508","703-555-1760","Sent","Text"
"10/8/17","8:02 AM","703-555-2508","7035551760","Sent","Picture/Video"
"10/8/17","8:01 AM","703-555-1760","703-555-2508","Received","Text"
"10/8/17","8:01 AM","703-555-2508","7035551760","Sent","Picture/Video"
"10/8/17","8:00 AM","703-555-1760","703-555-2508","Received","Text"
"10/8/17","8:00 AM","703-555-2508","703-555-1760","Sent","Text"
"10/8/17","8:00 AM","703-555-2508","703-555-1760","Sent","Text"
"10/8/17","8:00 AM","703-555-2508","703-555-1760","Sent","Text"
"10/8/17","7:42 AM","703-555-1760","703-555-2508","Received","Text"
"10/8/17","7:43 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/8/17","7:43 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/8/17","7:43 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/8/17","7:42 PM","703-555-1760","810-555-0565","Received","Picture/Video"
"10/8/17","5:23 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/8/17","5:23 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/8/17","5:23 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/8/17","5:22 PM","703-555-1760","240-555-1499@icmms1.star5.lightspeed.net","Received","Picture/Video"
"10/8/17","5:22 PM","703-555-1760","240-555-1499@icmms1.star5.lightspeed.net","Received","Picture/Video"
"10/8/17","4:32 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/8/17","4:32 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/8/17","4:32 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/8/17","4:31 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/8/17","4:31 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/8/17","4:31 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/8/17","4:31 PM","703-555-1760","716-555-1105@icmms1.star5.lightspeed.net","Received","Picture/Video"
"10/8/17","4:29 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/8/17","4:29 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/8/17","4:29 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/8/17","4:29 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/8/17","4:29 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/8/17","4:29 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/8/17","4:28 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/8/17","4:28 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/8/17","4:28 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/8/17","4:28 PM","703-555-1760","240-555-1499@icmms1.star5.lightspeed.net","Received","Picture/Video"
"10/8/17","4:28 PM","703-555-1760","716-555-1105@icmms1.star5.lightspeed.net","Received","Picture/Video"
"10/8/17","4:27 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/8/17","4:27 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/8/17","4:27 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/8/17","4:27 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/8/17","4:27 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/8/17","4:27 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/8/17","4:27 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/8/17","4:27 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/8/17","4:27 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/8/17","4:26 PM","703-555-1760","240-555-1499@icmms1.star5.lightspeed.net","Received","Picture/Video"
"10/8/17","4:26 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/8/17","4:26 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/8/17","4:26 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/8/17","4:25 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/8/17","4:25 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/8/17","4:25 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/7/17","8:38 AM","703-555-2508","703-555-1760","Sent","Text"
"10/7/17","8:38 AM","703-555-2508","703-555-1760","Sent","Text"
"10/7/17","8:37 AM","703-555-1760","703-555-2508","Received","Text"
"10/7/17","8:36 AM","703-555-2508","703-555-1760","Sent","Text"
"10/7/17","8:35 AM","703-555-1760","703-555-2508","Received","Text"
"10/7/17","8:35 AM","703-555-2508","703-555-1760","Sent","Text"
"10/7/17","8:34 AM","703-555-1760","703-555-2508","Received","Text"
"10/7/17","8:34 AM","703-555-1760","703-555-2508","Received","Text"
"10/7/17","8:32 AM","703-555-2508","703-555-1760","Sent","Text"
"10/6/17","3:27 PM","703-555-1760","703-555-2508","Received","Text"
"10/6/17","3:15 PM","703-555-2508","703-555-1760","Sent","Text"
"10/6/17","3:14 PM","703-555-1760","703-555-2508","Received","Text"
"10/6/17","3:14 PM","703-555-2508","703-555-1760","Sent","Text"
"10/6/17","3:14 PM","703-555-2508","703-555-1760","Sent","Text"
"10/6/17","3:12 PM","703-555-1760","703-555-2508","Received","Text"
"10/6/17","3:06 PM","703-555-2508","703-555-1760","Sent","Text"
"10/6/17","3:05 PM","703-555-1760","703-555-2508","Received","Text"
"10/6/17","2:27 PM","202-555-1219","703-555-1760","Sent","Text"
"10/6/17","2:26 PM","703-555-1760","202-555-1219","Received","Text"
"10/6/17","2:25 PM","202-555-1219","703-555-1760","Sent","Text"
"10/6/17","2:25 PM","703-555-1760","202-555-1219","Received","Text"
"10/6/17","2:24 PM","202-555-1219","703-555-1760","Sent","Text"
"10/6/17","2:23 PM","703-555-1760","202-555-1219","Received","Text"
"10/6/17","2:10 PM","202-555-1219","703-555-1760","Sent","Text"
"10/6/17","11:41 AM","703-555-1760","202-555-1219","Received","Text"
"10/6/17","11:35 AM","703-555-1760","202-555-1219","Received","Text"
"10/6/17","11:34 AM","202-555-1219","703-555-1760","Sent","Text"
"10/6/17","11:33 AM","703-555-1760","202-555-1219","Received","Text"
"10/6/17","11:32 AM","202-555-1219","703-555-1760","Sent","Text"
"10/6/17","11:31 AM","703-555-1760","202-555-1219","Received","Text"
"10/6/17","11:09 AM","703-555-1760","202-555-1219","Received","Text"
"10/6/17","10:54 AM","703-555-2508","703-555-1760","Sent","Text"
"10/6/17","10:54 AM","703-555-2508","703-555-1760","Sent","Text"
"10/6/17","10:53 AM","703-555-1760","703-555-2508","Received","Text"
"10/6/17","10:53 AM","703-555-2508","703-555-1760","Sent","Text"
"10/6/17","10:52 AM","703-555-1760","703-555-2508","Received","Text"
"10/6/17","10:52 AM","703-555-2508","703-555-1760","Sent","Text"
"10/6/17","10:52 AM","703-555-1760","703-555-2508","Received","Text"
"10/6/17","10:51 AM","703-555-2508","703-555-1760","Sent","Text"
